director_id,director
1204,Tom Hooper
1205,Sergei Bodrov
1206,Anna Stone
1207,Cory Edwards
1208,Faraday Okoro
1209,Henry Joost
1210,Rebecca Zlotowski
1211,Sharan Sharma
1212,Tyler Spindel
1213,Vicky Wight
1214,Marc Meyers
1215,Franziska Meyer Price
1216,Steven Rinella
1217,Laura Terruso
1218,Martín Sastre
1219,Franck Nataf
1220,Pascal Amanfo
1221,Savage Steve Holland
1222,Mike Doyle
1223,Darren Grant
1224,Joseph Ruben
1225,Mfanelo Ngoma
1226,Colin Minihan
1227,Regina Welker
1228,Honey Trehan
1229,Katleho Ramaphakela
1230,Ariel Boles
1231,Álvaro Delgado-Aparicio L.
1232,Venkatesh Maha
1233,Nopparoj Chotmunkongsit
1234,Aniedi Anwah
1235,Mickey Fonseca
